founder_id,provider_id,match_score,reason
F001,S008,81.8,Industry aligned; Skill match: 100%; Partial project type fit; Timeline fit: 100%; Stage match: 38%
F001,S015,81.8,Industry aligned; Skill match: 100%; Partial project type fit; Timeline fit: 100%; Stage match: 38%
F001,S009,68.4,Industry aligned; Skill match: 100%; Partial project type fit; Timeline fit: 33%; Stage match: 38%
F001,S024,68.0,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 100%; Stage match: 50%
F001,S033,66.8,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 100%; Stage match: 38%
F002,S016,91.0,Industry aligned; Skill match: 100%; Project type fits; Timeline fit: 86%; Stage match: 38%
F002,S006,76.0,Different industry; Skill match: 100%; Project type fits; Timeline fit: 86%; Stage match: 38%
F002,S040,68.8,Industry aligned; Skill match: 0%; Project type fits; Timeline fit: 100%; Stage match: 38%
F002,S049,68.0,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 100%; Stage match: 50%
F002,S020,66.8,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 100%; Stage match: 38%
F003,S011,80.9,Industry aligned; Skill match: 100%; Partial project type fit; Timeline fit: 100%; Stage match: 29%
F003,S015,67.9,Industry aligned; Skill match: 0%; Project type fits; Timeline fit: 100%; Stage match: 29%
F003,S050,67.3,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 100%; Stage match: 43%
F003,S005,64.5,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 86%; Stage match: 43%
F003,S048,57.35,Industry aligned; Skill match: 17%; Partial project type fit; Timeline fit: 86%; Stage match: 29%
F004,S023,65.5,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 100%; Stage match: 25%
F004,S049,65.0,Different industry; Skill match: 100%; Project type fits; Timeline fit: 29%; Stage match: 42%
F004,S022,63.3,Industry aligned; Skill match: 100%; Partial project type fit; Timeline fit: 14%; Stage match: 25%
F004,S044,60.6,Industry aligned; Skill match: 20%; Partial project type fit; Timeline fit: 100%; Stage match: 26%
F004,S047,57.2,Industry aligned; Skill match: 20%; Partial project type fit; Timeline fit: 83%; Stage match: 26%
F005,S012,78.5,Different industry; Skill match: 100%; Project type fits; Timeline fit: 100%; Stage match: 35%
F005,S038,78.5,Different industry; Skill match: 100%; Project type fits; Timeline fit: 100%; Stage match: 35%
F005,S049,74.2,Industry aligned; Skill match: 20%; Project type fits; Timeline fit: 100%; Stage match: 42%
F005,S018,67.2,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 100%; Stage match: 42%
F005,S042,65.7,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 100%; Stage match: 27%
F006,S029,65.8,Industry aligned; Skill match: 40%; Project type fits; Timeline fit: 33%; Stage match: 42%
F006,S030,60.7,Different industry; Skill match: 40%; Project type fits; Timeline fit: 86%; Stage match: 35%
F006,S016,60.6,Industry aligned; Skill match: 20%; Partial project type fit; Timeline fit: 100%; Stage match: 26%
F006,S039,60.0,Industry aligned; Skill match: 14%; Partial project type fit; Timeline fit: 100%; Stage match: 35%
F006,S048,58.05,Different industry; Skill match: 33%; Project type fits; Timeline fit: 86%; Stage match: 26%
F007,S014,78.4,Industry aligned; Skill match: 100%; Partial project type fit; Timeline fit: 83%; Stage match: 38%
F007,S028,65.05,Industry aligned; Skill match: 33%; Partial project type fit; Timeline fit: 100%; Stage match: 38%
F007,S044,63.4,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 83%; Stage match: 38%
F007,S001,59.1,Different industry; Skill match: 40%; Project type fits; Timeline fit: 83%; Stage match: 25%
F007,S010,59.1,Different industry; Skill match: 40%; Project type fits; Timeline fit: 83%; Stage match: 25%
F008,S050,69.6,Industry aligned; Skill match: 100%; Partial project type fit; Timeline fit: 33%; Stage match: 50%
F008,S027,68.0,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 100%; Stage match: 50%
F008,S029,68.0,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 100%; Stage match: 50%
F008,S011,65.4,Different industry; Skill match: 100%; Project type fits; Timeline fit: 33%; Stage match: 38%
F008,S014,63.4,Industry aligned; Skill match: 40%; Partial project type fit; Timeline fit: 83%; Stage match: 38%
F009,S017,69.2,Industry aligned; Skill match: 0%; Project type fits; Timeline fit: 100%; Stage match: 42%
F009,S046,67.5,Industry aligned; Skill match: 0%; Project type fits; Timeline fit: 100%; Stage match: 25%
F009,S013,65.7,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 100%; Stage match: 27%
F009,S023,64.1,Industry aligned; Skill match: 0%; Project type fits; Timeline fit: 83%; Stage match: 25%
F009,S029,62.45,Different industry; Skill match: 33%; Project type fits; Timeline fit: 100%; Stage match: 42%
F010,S045,78.7,Industry aligned; Skill match: 100%; Partial project type fit; Timeline fit: 86%; Stage match: 35%
F010,S005,67.2,Industry aligned; Skill match: 40%; Partial project type fit; Timeline fit: 100%; Stage match: 42%
F010,S030,66.5,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 100%; Stage match: 35%
F010,S007,65.5,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 100%; Stage match: 25%
F010,S019,65.5,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 100%; Stage match: 25%
F011,S023,74.1,Different industry; Skill match: 100%; Project type fits; Timeline fit: 83%; Stage match: 25%
F011,S026,64.9,Industry aligned; Skill match: 100%; Partial project type fit; Timeline fit: 17%; Stage match: 35%
F011,S020,63.9,Industry aligned; Skill match: 100%; Partial project type fit; Timeline fit: 17%; Stage match: 25%
F011,S017,59.2,Different industry; Skill match: 20%; Project type fits; Timeline fit: 100%; Stage match: 42%
F011,S047,57.6,Different industry; Skill match: 20%; Project type fits; Timeline fit: 100%; Stage match: 26%
F012,S037,83.0,Industry aligned; Skill match: 100%; Partial project type fit; Timeline fit: 100%; Stage match: 50%
F012,S018,79.2,Industry aligned; Skill match: 100%; Partial project type fit; Timeline fit: 86%; Stage match: 40%
F012,S012,77.2,Different industry; Skill match: 100%; Project type fits; Timeline fit: 86%; Stage match: 50%
F012,S038,77.2,Different industry; Skill match: 100%; Project type fits; Timeline fit: 86%; Stage match: 50%
F012,S041,68.6,Industry aligned; Skill match: 100%; Partial project type fit; Timeline fit: 33%; Stage match: 40%
F013,S023,77.6,Industry aligned; Skill match: 100%; Partial project type fit; Timeline fit: 83%; Stage match: 30%
F013,S010,64.6,Industry aligned; Skill match: 0%; Project type fits; Timeline fit: 83%; Stage match: 30%
F013,S026,63.4,Different industry; Skill match: 100%; Project type fits; Timeline fit: 17%; Stage match: 50%
F013,S017,62.0,Industry aligned; Skill match: 20%; Partial project type fit; Timeline fit: 100%; Stage match: 40%
F013,S020,61.4,Different industry; Skill match: 100%; Project type fits; Timeline fit: 17%; Stage match: 30%
F014,S013,66.0,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 100%; Stage match: 30%
F014,S031,62.6,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 83%; Stage match: 30%
F014,S035,62.6,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 83%; Stage match: 30%
F014,S029,62.25,Different industry; Skill match: 33%; Project type fits; Timeline fit: 100%; Stage match: 40%
F014,S034,56.85,Different industry; Skill match: 33%; Project type fits; Timeline fit: 83%; Stage match: 20%
