provider_id,founder_id,match_score,reason
S001,F043,77.7,Different industry; Skill match: 100%; Project type fits; Timeline fit: 100%; Stage match: 27%
S001,F015,65.7,Industry aligned; Skill match: 40%; Partial project type fit; Timeline fit: 100%; Stage match: 27%
S001,F023,62.6,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 83%; Stage match: 30%
S001,F029,62.5,Different industry; Skill match: 40%; Project type fits; Timeline fit: 100%; Stage match: 25%
S001,F008,62.1,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 83%; Stage match: 25%
S002,F048,75.45,Industry aligned; Skill match: 33%; Project type fits; Timeline fit: 86%; Stage match: 50%
S002,F040,65.05,Industry aligned; Skill match: 33%; Partial project type fit; Timeline fit: 100%; Stage match: 38%
S002,F022,63.25,Different industry; Skill match: 33%; Project type fits; Timeline fit: 100%; Stage match: 50%
S002,F006,56.5,Industry aligned; Skill match: 0%; Partial project type fit; Timeline fit: 100%; Stage match: 35%
S002,F014,54.6,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 33%; Stage match: 50%
S003,F025,70.1,Industry aligned; Skill match: 20%; Project type fits; Timeline fit: 86%; Stage match: 29%
S003,F033,65.8,Industry aligned; Skill match: 100%; Partial project type fit; Timeline fit: 14%; Stage match: 50%
S003,F031,60.0,Industry aligned; Skill match: 14%; Partial project type fit; Timeline fit: 100%; Stage match: 35%
S003,F045,58.0,Industry aligned; Skill match: 0%; Partial project type fit; Timeline fit: 100%; Stage match: 50%
S003,F005,57.95,Industry aligned; Skill match: 17%; Partial project type fit; Timeline fit: 86%; Stage match: 35%
S004,F024,78.5,Different industry; Skill match: 100%; Project type fits; Timeline fit: 100%; Stage match: 35%
S004,F012,68.0,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 100%; Stage match: 50%
S004,F005,63.7,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 86%; Stage match: 35%
S004,F021,63.7,Industry aligned; Skill match: 100%; Partial project type fit; Timeline fit: 14%; Stage match: 29%
S004,F044,63.1,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 86%; Stage match: 29%
S005,F044,73.55,Industry aligned; Skill match: 17%; Project type fits; Timeline fit: 100%; Stage match: 43%
S005,F010,67.2,Industry aligned; Skill match: 40%; Partial project type fit; Timeline fit: 100%; Stage match: 42%
S005,F048,67.0,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 100%; Stage match: 40%
S005,F040,65.2,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 86%; Stage match: 50%
S005,F047,65.2,Industry aligned; Skill match: 40%; Partial project type fit; Timeline fit: 86%; Stage match: 50%
S006,F025,79.5,Industry aligned; Skill match: 100%; Partial project type fit; Timeline fit: 86%; Stage match: 43%
S006,F039,79.3,Different industry; Skill match: 100%; Project type fits; Timeline fit: 100%; Stage match: 43%
S006,F002,76.0,Different industry; Skill match: 100%; Project type fits; Timeline fit: 86%; Stage match: 38%
S006,F027,64.0,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 86%; Stage match: 38%
S006,F031,60.5,Industry aligned; Skill match: 20%; Partial project type fit; Timeline fit: 100%; Stage match: 25%
S007,F026,78.3,Industry aligned; Skill match: 100%; Project type fits; Timeline fit: 29%; Stage match: 25%
S007,F010,65.5,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 100%; Stage match: 25%
S007,F030,65.5,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 100%; Stage match: 25%
S007,F032,65.5,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 100%; Stage match: 25%
S007,F035,64.5,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 86%; Stage match: 43%
S008,F001,81.8,Industry aligned; Skill match: 100%; Partial project type fit; Timeline fit: 100%; Stage match: 38%
S008,F022,58.0,Industry aligned; Skill match: 0%; Partial project type fit; Timeline fit: 100%; Stage match: 50%
S008,F019,56.8,Industry aligned; Skill match: 0%; Partial project type fit; Timeline fit: 100%; Stage match: 38%
S008,F003,55.9,Industry aligned; Skill match: 0%; Partial project type fit; Timeline fit: 100%; Stage match: 29%
S008,F018,55.2,Industry aligned; Skill match: 0%; Partial project type fit; Timeline fit: 86%; Stage match: 50%
S009,F050,74.6,Different industry; Skill match: 100%; Project type fits; Timeline fit: 83%; Stage match: 30%
S009,F001,68.4,Industry aligned; Skill match: 100%; Partial project type fit; Timeline fit: 33%; Stage match: 38%
S009,F037,66.0,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 100%; Stage match: 30%
S009,F017,63.4,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 83%; Stage match: 38%
S009,F049,57.3,Industry aligned; Skill match: 0%; Partial project type fit; Timeline fit: 100%; Stage match: 43%
S010,F043,77.7,Different industry; Skill match: 100%; Project type fits; Timeline fit: 100%; Stage match: 27%
S010,F029,77.5,Industry aligned; Skill match: 40%; Project type fits; Timeline fit: 100%; Stage match: 25%
S010,F021,72.15,Industry aligned; Skill match: 17%; Project type fits; Timeline fit: 100%; Stage match: 29%
S010,F050,68.0,Industry aligned; Skill match: 0%; Project type fits; Timeline fit: 100%; Stage match: 30%
S010,F026,65.7,Industry aligned; Skill match: 40%; Partial project type fit; Timeline fit: 100%; Stage match: 27%
S011,F022,93.0,Industry aligned; Skill match: 100%; Project type fits; Timeline fit: 100%; Stage match: 30%
S011,F003,80.9,Industry aligned; Skill match: 100%; Partial project type fit; Timeline fit: 100%; Stage match: 29%
S011,F018,75.2,Industry aligned; Skill match: 40%; Project type fits; Timeline fit: 86%; Stage match: 30%
S011,F048,75.2,Different industry; Skill match: 100%; Project type fits; Timeline fit: 86%; Stage match: 30%
S011,F019,66.8,Industry aligned; Skill match: 40%; Partial project type fit; Timeline fit: 100%; Stage match: 38%
S012,F024,78.7,Industry aligned; Skill match: 100%; Partial project type fit; Timeline fit: 86%; Stage match: 35%
S012,F005,78.5,Different industry; Skill match: 100%; Project type fits; Timeline fit: 100%; Stage match: 35%
S012,F012,77.2,Different industry; Skill match: 100%; Project type fits; Timeline fit: 86%; Stage match: 50%
S012,F044,65.9,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 100%; Stage match: 29%
S012,F034,65.8,Different industry; Skill match: 100%; Project type fits; Timeline fit: 29%; Stage match: 50%
S013,F014,66.0,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 100%; Stage match: 30%
S013,F009,65.7,Different industry; Skill match: 100%; Partial project type fit; Timeline fit: 100%; Stage match: 27%
